,city,Year,date_start,month,maxt,mint,rain,soil,cases,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9
11,delhi,2010,30-11-2010,11,27.87006378,14.29775524,0.386666656,49.70972824,678,14.29775524,19.86024284,23.86161423,25.71663666,25.86068344,26.30779076,26.12862778,23.26267433,16.93906593,10.51570892,0.386666656,0.46129033,12.4333334,11.60322571,7.453333378,0.767741919,0.135483876,0.006666667,0,0.625,27.87006378,32.9985733,32.2053299,33.54368591,33.7358017,39.90220642,41.71602249,40.56165314,33.89316177,25.69207382,49.70972824,53.60133362,80.12306976,71.09780121,52.57008743,30.87254333,20.35139847,6.06961441,14.45237732,27.08142662
12,delhi,2010,30-12-2010,12,22.35422707,7.076479435,0.212903231,42.40348053,33,7.076479435,14.29775524,19.86024284,23.86161423,25.71663666,25.86068344,26.30779076,26.12862778,23.26267433,16.93906593,0.212903231,0.386666656,0.46129033,12.4333334,11.60322571,7.453333378,0.767741919,0.135483876,0.006666667,0,22.35422707,27.87006378,32.9985733,32.2053299,33.54368591,33.7358017,39.90220642,41.71602249,40.56165314,33.89316177,42.40348053,49.70972824,53.60133362,80.12306976,71.09780121,52.57008743,30.87254333,20.35139847,6.06961441,14.45237732
13,delhi,2011,30-01-2011,1,18.46367645,6.135955811,0,40.781147,0,6.135955811,7.076479435,14.29775524,19.86024284,23.86161423,25.71663666,25.86068344,26.30779076,26.12862778,23.26267433,0,0.212903231,0.386666656,0.46129033,12.4333334,11.60322571,7.453333378,0.767741919,0.135483876,0.006666667,18.46367645,22.35422707,27.87006378,32.9985733,32.2053299,33.54368591,33.7358017,39.90220642,41.71602249,40.56165314,40.781147,42.40348053,49.70972824,53.60133362,80.12306976,71.09780121,52.57008743,30.87254333,20.35139847,6.06961441
14,delhi,2011,28-02-2011,2,25.01566696,11.31805706,1.014285684,36.59005737,0,11.31805706,6.135955811,7.076479435,14.29775524,19.86024284,23.86161423,25.71663666,25.86068344,26.30779076,26.12862778,1.014285684,0,0.212903231,0.386666656,0.46129033,12.4333334,11.60322571,7.453333378,0.767741919,0.135483876,25.01566696,18.46367645,22.35422707,27.87006378,32.9985733,32.2053299,33.54368591,33.7358017,39.90220642,41.71602249,36.59005737,40.781147,42.40348053,49.70972824,53.60133362,80.12306976,71.09780121,52.57008743,30.87254333,20.35139847
15,delhi,2011,30-03-2011,3,31.81386566,16.01316261,0.087096773,19.99889183,1,16.01316261,11.31805706,6.135955811,7.076479435,14.29775524,19.86024284,23.86161423,25.71663666,25.86068344,26.30779076,0.087096773,1.014285684,0,0.212903231,0.386666656,0.46129033,12.4333334,11.60322571,7.453333378,0.767741919,31.81386566,25.01566696,18.46367645,22.35422707,27.87006378,32.9985733,32.2053299,33.54368591,33.7358017,39.90220642,19.99889183,36.59005737,40.781147,42.40348053,49.70972824,53.60133362,80.12306976,71.09780121,52.57008743,30.87254333
16,delhi,2011,30-04-2011,4,36.89474106,20.59723663,0.353333324,22.94441223,3,20.59723663,16.01316261,11.31805706,6.135955811,7.076479435,14.29775524,19.86024284,23.86161423,25.71663666,25.86068344,0.353333324,0.087096773,1.014285684,0,0.212903231,0.386666656,0.46129033,12.4333334,11.60322571,7.453333378,36.89474106,31.81386566,25.01566696,18.46367645,22.35422707,27.87006378,32.9985733,32.2053299,33.54368591,33.7358017,22.94441223,19.99889183,36.59005737,40.781147,42.40348053,49.70972824,53.60133362,80.12306976,71.09780121,52.57008743
17,delhi,2011,30-05-2011,5,41.62171173,26.99129486,1.164516091,30.88653564,0,26.99129486,20.59723663,16.01316261,11.31805706,6.135955811,7.076479435,14.29775524,19.86024284,23.86161423,25.71663666,1.164516091,0.353333324,0.087096773,1.014285684,0,0.212903231,0.386666656,0.46129033,12.4333334,11.60322571,41.62171173,36.89474106,31.81386566,25.01566696,18.46367645,22.35422707,27.87006378,32.9985733,32.2053299,33.54368591,30.88653564,22.94441223,19.99889183,36.59005737,40.781147,42.40348053,49.70972824,53.60133362,80.12306976,71.09780121
18,delhi,2011,30-06-2011,6,39.69683075,28.1246624,3.022580624,44.23478317,1,28.1246624,26.99129486,20.59723663,16.01316261,11.31805706,6.135955811,7.076479435,14.29775524,19.86024284,23.86161423,3.022580624,1.164516091,0.353333324,0.087096773,1.014285684,0,0.212903231,0.386666656,0.46129033,12.4333334,39.69683075,41.62171173,36.89474106,31.81386566,25.01566696,18.46367645,22.35422707,27.87006378,32.9985733,32.2053299,44.23478317,30.88653564,22.94441223,19.99889183,36.59005737,40.781147,42.40348053,49.70972824,53.60133362,80.12306976
19,delhi,2011,30-07-2011,7,36.88867188,27.08724213,4.153333187,59.41833115,10,27.08724213,28.1246624,26.99129486,20.59723663,16.01316261,11.31805706,6.135955811,7.076479435,14.29775524,19.86024284,4.153333187,3.022580624,1.164516091,0.353333324,0.087096773,1.014285684,0,0.212903231,0.386666656,0.46129033,36.88867188,39.69683075,41.62171173,36.89474106,31.81386566,25.01566696,18.46367645,22.35422707,27.87006378,32.9985733,59.41833115,44.23478317,30.88653564,22.94441223,19.99889183,36.59005737,40.781147,42.40348053,49.70972824,53.60133362
20,delhi,2011,30-08-2011,8,34.47864914,26.07185364,4.987096786,62.40732193,51,26.07185364,27.08724213,28.1246624,26.99129486,20.59723663,16.01316261,11.31805706,6.135955811,7.076479435,14.29775524,4.987096786,4.153333187,3.022580624,1.164516091,0.353333324,0.087096773,1.014285684,0,0.212903231,0.386666656,34.47864914,36.88867188,39.69683075,41.62171173,36.89474106,31.81386566,25.01566696,18.46367645,22.35422707,27.87006378,62.40732193,59.41833115,44.23478317,30.88653564,22.94441223,19.99889183,36.59005737,40.781147,42.40348053,49.70972824
